barcode,name,brand,category,subcategory,ingredients,allergens,source,source_url,data_confidence,needs_manual_review,notes
4088600326252,Bran Flakes,Harvest Morn,General Food,Uncategorised,"wholegrain wheat (80%), wheat bran (20%), sugar, malted barley extract, salt, niacin, iron, pantothenic acid, thiamin, riboflavin, vitamin b6, folic acid, vitamin b12",gluten,open_food_facts,https://world.openfoodfacts.org/product/4088600326252/bran-flakes-harvest-morn,community,true,no clean SafeBite subcategory mapped
4056489825623,Scottish Porridge Oats 100% Wholegrain,Crownfield,General Food,Uncategorised,wholegrain rolled oats,,open_food_facts,https://world.openfoodfacts.org/product/4056489825623/scottish-porridge-oats-100-wholegrain-crownfield,community,true,no clean SafeBite subcategory mapped; allergens missing or not explicitly declared
5059319033501,Cornflakes,Kellogg,General Food,Uncategorised,"(EN) TOASTED FLAKES OF GOLDEN CORN FORTIFIED WITH VITAMINS AND IRON. INGREDIENTS: Maize, barley malt extract, sugar, salt, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals. Best before: see top.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5059319033501/cornflakes-kellogg,community,true,no clean SafeBite subcategory mapped
5052003786561,Tesco No Added Sugar or Salt Swiss Style Muesli,Tesco,General Food,Uncategorised,"Oat Flakes, Malted Toasted Wheat Flakes [Wheat, Barley Malt Extract], Raisins (15%), Whey Powder (Milk), Hazelnut (1%), Almond.",milk,open_food_facts,https://world.openfoodfacts.org/product/5052003786561/tesco-no-added-sugar-or-salt-swiss-style-muesli,community,true,no clean SafeBite subcategory mapped
5060139434362,Cocoa Alpha Bites,BEAR,General Food,Uncategorised,"Whole grain ground wheat (38%), coarsely ground corn (19%), ground oats (18%), coconut blossom nectar, ground rice, fat reduced cocoa powder (4%).",gluten,open_food_facts,https://world.openfoodfacts.org/product/5060139434362/cocoa-alpha-bites-bear,community,true,no clean SafeBite subcategory mapped
4056489825586,Swiss style museli,Brownfield,General Food,Uncategorised,"40% Wholegrain Oat Flakes, 39% Toasted Wholegrain _Wheat_ Flakes, 15% Raisins, 4% Whey Powder (_Milk_), 2% Mixed Nuts (_Hazelnut_ Halves, Flaked _Almonds_)",milk,open_food_facts,https://world.openfoodfacts.org/product/4056489825586/swiss-style-museli-brownfield,community,true,no clean SafeBite subcategory mapped
5010029226133,Alpen Original Muesli,"Weetabix, Alpen",General Food,Uncategorised,"Wholegrain Wheat (39%). Wholegrain Rolled Oats (37%), Raisins (12%), Sugar, Skimmed Milk Powder, Milk Whey Powder, Roasted Sliced Nuts (2.0%) (Hazelnuts, Almonds), Salt.",gluten en:milk en:nuts,open_food_facts,https://world.openfoodfacts.org/product/5010029226133/alpen-original-muesli-weetabix,community,true,no clean SafeBite subcategory mapped
5000127142190,All-Bran Original,"Kellogg,Kellogg's",General Food,Uncategorised,"Wheat bran (86%), sugar, barley malt extract, salt, niacin, iron, vitamin B6, riboflavin, thiamin, folic acid, vitamin D, vitamin B12. For allergens see ingredients highlighted in bold. May contain gluten from other cereals.",gluten,open_food_facts,https://world.openfoodfacts.org/product/5000127142190/all-bran-original-kellogg,community,true,no clean SafeBite subcategory mapped
5099801003315,Organic Porridge Oats,Flahavan's,General Food,Uncategorised,100% Organic Wholegrain Rolled _Oats_,gluten,open_food_facts,https://world.openfoodfacts.org/product/5099801003315/organic-porridge-oats-flahavan-s,community,true,no clean SafeBite subcategory mapped
5055958705342,Cherry Bakewell Oat Boosts,graze,General Food,Uncategorised,"oats (41%), chicory root fibre, vegetable oils (rapeseed, palm**), golden syrup, liquid sugar, dried cranberries (sugar, cranberries, sunflower oil), humectant: glycerine, flaked almonds (2.3%), palm fat, soluble corn fibre, apple juice infused dried sour cherries (1%) (sour cherries [48%), apple juice concentrate, rice flour, lemon juice concentrate, sunflower oil), soya flour, cherry juice powder, demerara sugar, potato starch, sea salt, emulsifier: soy lecithin, citrus fibre, natural flavouring, stabiliser: xanthan gum, molasses.",gluten en:nuts en:soybeans,open_food_facts,https://world.openfoodfacts.org/product/5055958705342/cherry-bakewell-oat-boosts-graze,community,true,no clean SafeBite subcategory mapped
